Publicações,20/03/2020,21/03/2020,23/03/2020,26/03/2020,27/03/2020,28/03/2020,31/03/2020,01/04/2020,02/04/2020,05/04/2020,06/04/2020,08/04/2020,09/04/2020,10/04/2020,12/04/2020,13/04/2020,15/04/2020,16/04/2020,19/04/2020,20/04/2020,21/04/2020,23/04/2020,24/04/2020,24/04/2020,25/04/2020,26/04/2020,28/04/2020,30/04/2020,01/05/2020,05/05/2020,06/05/2020,07/05/2020,09/05/2020,10/05/2020,14/05/2020,17/05/2020,18/05/2020,20/05/2020,22/05/2020,23/05/2020,24/05/2020,26/05/2020,26/05/2020,27/05/2020,29/05/2020,29/05/2020,31/05/2020,01/06/2020,01/06/2020,04/06/2020,11/06/2020,19/06/2020,20/06/2020,23/06/2020,25/06/2020,29/06/2020,01/07/2020,06/07/2020,08/07/2020,12/07/2020,16/07/2020,19/07/2020,22/07/2020,31/07/2020,05/08/2020,06/08/2020,07/08/2020,08/08/2020,09/08/2020,10/08/2020,13/08/2020,16/08/2020,17/08/2020,18/08/2020,19/08/2020,20/08/2020,21/08/2020,22/08/2020,26/08/2020,28/08/2020,29/08/2020,31/08/2020,31/08/2020,01/09/2020,03/09/2020,04/09/2020,05/08/2020,05/09/2020,05/09/2020,09/09/2020,11/09/2020,15/09/2020,16/09/2020,19/09/2020,24/09/2020,25/09/2020,04/10/2020,05/10/2020,08/10/2020,09/10/2020,10/10/2020,12/10/2020,12/10/2020,14/10/2020,15/10/2020,16/10/2020,20/10/2020,21/10/2020,23/10/2020,27/10/2020,28/10/2020,28/10/2020,29/10/2020,29/10/2020,30/10/2020,30/10/2020,31/10/2020,02/11/2020,04/11/2020,05/11/2020,06/11/2020,08/11/2020,17/11/2020,20/11/2020,22/11/2020,24/11/2020,24/11/2020,25/11/2020,25/11/2020,26/11/2020,27/11/2020,28/11/2020,28/11/2020,02/12/2020,03/12/2020,04/12/2020,10/12/2020,12/12/2020,12/12/2020,12/12/2020,14/12/2020,14/12/2020,17/12/2020,17/12/2020,17/12/2020,20/12/2020,22/12/2020,23/12/2020,24/12/2020,27/12/2020,29/12/2020,30/12/2020,20/01/2021,20/01/2021,21/01/2021,23/01/2021,28/01/2021,03/02/2021,06/02/2021,11/02/2021,23/02/2021,02/03/2021,03/03/2021,05/03/2021,07/03/2021,07/03/2021,07/03/2021,08/03/2021,12/03/2021,16/03/2021,19/03/2021,19/03/2021,Total (COUNTIF)
Vídeos,,Sim,,Sim,,,Sim,Sim,,,,,Sim,,,Sim,Sim,Sim,,Sim,,Sim,Sim,,,Sim,,,,Sim,,,,Sim,,,Sim,,Sim,Sim,,,,,Sim,Sim,Sim,,,Sim,Sim,,,,,,Sim,Sim,,,,,Sim,Sim,,,,,,,,Sim,,,,,Sim,,Sim,,,,Sim,Sim,,,,,,,,Sim,,,,Sim,,Sim,,,Sim,,Sim,,,,,,,,Sim,Sim,,Sim,,Sim,,,Sim,,,Sim,Sim,,Sim,Sim,,,Sim,Sim,,,,,,Sim,,Sim,Sim,,,,,,,,,,,,Sim,Sim,,,Sim,Sim,Sim,Sim,Sim,Sim,,,Sim,,,,,Sim,,,,,60
Imagens,Sim,,Sim,,Sim,Sim,,,Sim,Sim,Sim,Sim,,Sim,Sim,,,,Sim,,Sim,,,Sim,Sim,,Sim,Sim,Sim,,Sim,Sim,Sim,,Sim,Sim,,Sim,,,Sim,Sim,Sim,Sim,Sim,,,Sim,Sim,,,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,,Sim,,Sim,Sim,Sim,,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,,Sim,,Sim,Sim,,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,Sim,,Sim,,Sim,Sim,,Sim,Sim,,,Sim,,,Sim,Sim,,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,Sim,Sim,,,,,,,Sim,Sim,,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,115
Throwbacks pré-pandêmicos,,,,Sim,,,Sim,,,,,,Sim,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,Sim,,,,,,,,,Sim,,,,,,Sim,,,,,Sim,,,,,,,,,,,,,,Sim,,,,,,,,,,,,,,Sim,,,,,,Sim,,,,,,,,,,,,,,,Sim,,,,,,,,,,Sim,,,,,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Pessoal,Sim,Sim,Sim,,Sim,Sim,,,Sim,,Sim,,,,Sim,,,Sim,,,Sim,,,Sim,,,,,,,Sim,,,Sim,Sim,Sim,Sim,Sim,Sim,,,Sim,Sim,,,,Sim,Sim,Sim,,,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,,Sim,,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,,,Sim,,,,Sim,Sim,,,,Sim,Sim,Sim,,,,Sim,Sim,,,,,,,,Sim,Sim,,,,,,,,,Sim,,,,Sim,Sim,Sim,Sim,,,,Sim,Sim,,Sim,Sim,Sim,,,Sim,Sim,Sim,,Sim,,,Sim,Sim,Sim,,Sim,Sim,,Sim,Sim,,Sim,,,Sim,,,Sim,Sim,,,Sim,Sim,,,,Sim,Sim,Sim,Sim,,Sim,,87
Maternidade,,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,Sim,,,,,,Sim,Sim,,Sim,Sim,,,,,,,,Sim,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,,,,,,,,,,Sim,,,,,11
Relacionado com seu trabalho musical,Sim,Sim,,Sim,Sim,Sim,Sim,,,,,,,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,,Sim,Sim,,,,,Sim,Sim,Sim,,,Sim,Sim,Sim,Sim,,,,Sim,,,,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,,,Sim,Sim,Sim,,,,,,Sim,Sim,Sim,,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,Sim,Sim,Sim,,Sim,Sim,,Sim,,Sim,Sim,Sim,,,Sim,,Sim,Sim,Sim,,,Sim,Sim,,Sim,,Sim,Sim,,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,,,,,Sim,,Sim,113
Anúncio de lives,Sim,,,,,,Sim,,,,,,,Sim,Sim,,,Sim,,,,,Sim,,,,,Sim,,,Sim,Sim,Sim,,Sim,,,Sim,,Sim,Sim,,,,Sim,Sim,,,,,,,,,,,,,,,Sim,,,,,,Sim,Sim,,,,,,,Sim,,,,,Sim,Sim,Sim,,,,,,,,,Sim,,Sim,Sim,Sim,Sim,,,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,Sim,,,,Sim,Sim,,,,Sim,,Sim,Sim,,,,,,,,,,,,,Sim,,,Sim,,,,,,,Sim,Sim,Sim,,,,,,,Sim,41
Conhecimento originário ou latinoamericano,,,,,,,,,,,,,Sim,,,,,,Sim,,,,,,,,,,Sim,,,Sim,,,,,,,,,,,Sim,,,,,Sim,Sim,,,Sim,Sim,,,,,,,Sim,Sim,,,Sim,,,,,,,,Sim,,,,,Sim,Sim,,,,,,,,,Sim,Sim,Sim,,,,,,,Sim,Sim,,,,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,,,,,,,,Sim,,,,,,Sim,,,,Sim,,Sim,,,,,Sim,,,,Sim,28
Crítica social (geral),,,,,,,,,,,,Sim,,,,,,,Sim,,,,,,,,,,,,,Sim,,,,,,Sim,,,,Sim,Sim,,,,Sim,Sim,Sim,Sim,,Sim,,Sim,,,,,,Sim,Sim,,,Sim,,,,,,,,Sim,,,,Sim,Sim,,,,,,,,,,Sim,Sim,Sim,,,,,,,,Sim,,,,,,,,Sim,,Sim,,,Sim,,,,,,,,,,,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,Sim,,,,,,Sim,,,,Sim,,Sim,,,,,Sim,,,,Sim,32
Trabalho como pesquisadora e educadora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,,,,,,,,,4
Challenges,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Recomendações,,,,,,,,,,Sim,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Pede interação dos seguidores na legenda,,,,,,,,,,,,,,,Sim,,,,,,Sim,,,Sim,Sim,,Sim,Sim,,,Sim,,Sim,,,,,,,,Sim,Sim,,Sim,,,Sim,,,,,,,,,Sim,,,,,,,,,,,Sim,Sim,,,,,,Sim,,,,,,,,,,,Sim,,,,,,,Sim,,,Sim,Sim,,,Sim,Sim,Sim,,Sim,,,,,,,Sim,Sim,,,,,Sim,,,,Sim,,,,,,,,,,Sim,,,,Sim,,,Sim,,,,,,,,,,Sim,,,,,Sim,,,,,,Sim,,,,,,,,,,,,,,,34
Posts de formato (como chamar?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,,,,,2