Pergunta,A,B,C,D,E
Como ocorre a supervisão dos funcionários?,Supervisão mínima/inexistente dos funcioários.,Supervisão é realizada sem feedback aos funcionários.,Supervisão concede feedback padronizado aos funcionários.,Supervisão concede feedback customizado para cada funcionário.,Feedback acompanha recomendações de recursos para melhora.
São incentivadas práticas de mindfullness?,Empresa não oferece serviços de mindfulness.,"Empresa incentiva as práticas, mas não oferece o serviço aos funcionários.","Empresa oferece serviço para funcionários, dependendo do cargo.",Empresa oferece serviço de mindfullness para todos os funcionários.,Empresa oferece serviço de mindfullness para todos os funcionários e oferece incentivos para que usem o serviço.
Empresa possui espaços que não aqueles destinados ao trabalho em si?,Não.,,,,Sim.
Os funcionários possuem pausas de trabalho (além de horários previstos pela Lei)?,Não.,,,,Sim.
Como é a autonomia dos funcionários?,,,,,
Há sistema de parenting?,Não.,"Sim, apenas para alguns funcionários e opcional.","Sim, apenas para alguns os funcionários e compulsório.","Sim, para todos os funcionários e opcional.","Sim, para todos os funcionários e compulsório."
"Sua empresa possui código de ética a ser seguida dentro e fora da empresa (redes sociais, etc..)?",Não.,"Sim, mas pouco desenvolvido.","Sim, desenvolvido. ","Sim, desenvolvido com auxílio de profissionais competentes.","Sim, desenvolvido e constantemente revisado."
Existe penalização para condutas que desrespeitem o código?,Não há código.,Não.,,,Sim.
O código é reforçado com que frequência?,Não há codigo.,O potencial funcionário é comunicado do código ético apenas antes da contratação.,O funcinário é avisado do código apenas no momento da contratação.,O funcinário é relembrado do código com alguma constância.,O funcionário é constantemente relembrado do código.
Qual o grau de interação entre funcionários?,Funcionários exercem apenas atividades individuais.,A maioria das atividades são individuais.,Funcionários realizam atividades individuais e em grupo na mesma medida.,A maioria das atividades são realizadas em grupo.,Funcionários exercem apenas atividades em grupo.
Qual a frequência de reuniões no ambiente de trabalho? ,Praticamente nunca.,1x por mês.,2x por mês.,3x por mês.,4x por mês (ou mais).
Quais são os tipos de palestras/cursos disponibilizados aos funcionários?,Não são disponibilizados palestras/cursos especificamente aos funcionários da empresa.,"Não são disponibilizados palestras/cursos especificamente aos funcionários da empresa, mas são feitas indicações a eles.","Palestras/cursos são, em sua maioria, voltados à área de atuação da empresa.",Palestras/cursos são equilibrados entre aqueles voltados à área de atuação da empresa e aqueles voltados ao desenvolvimento de soft skills.,"Palestras/cursos são, em sua maioria, voltados ao desenvolvimento de soft skills."
Qual a autonomia dos funcionários para tomarem decisões em projetos?,Tarefas são designadas aos funcionários com meios e fins esperados.,,"Tarefas são designadas aos funcionários com um fins específicos, mas espaço para o desenvolverem da maneira como desejarem.",,Tarefas são designadas aos funcionários com liberdade total para apresentarem projetos criados por eles.
Como são desenvolvidos os cronogramas?,Designados aos funcionários; inflexíveis.,,"Designados aos funcionários, com alguma liberdade para modificarem possíveis eventos e etapas.",,Desenvolvidos inteiramente pelos funcionários; flexíveis.
Com qual frequência funcionários fazem decisões no processo de execução de um projeto?,Nunca. Tarefas são mecânicas.,Raramente. A maioria das atividades são designadas aos funcionários com expectativa de que a cumpram da maneira como lhes foi dada.,Ás vezes.,Com alguma frequência. ,Sempre que possível. Faz parte da dinâmica de produção da empresa.
"No último semestre de atuação da empresa, quantas palestras/cursos foram promovidos aos funcionários?",,,,,
"Há oportunidades de liderança em projetos menores para funcionários, ou a formação de pequenos grupos com liderança alternadas?",Não.,Raramente.,Às vezes.,Com alguma frequência.,Todos os projetos seguem esse padrão.